seqN,TreeNo,DeathAge,x,y,z,Year,Age,H,HB,GB,G0.1H,G0,G0.3,G1.3,G2.3,G3.3,G4.3,G5.3,G6.3,G7.3,G8.3,G9.3,G10.3,G11.3,G12.3,G13.3,G14.3,G15.3,G16.3,Vs
803,73,35,2.5,7.070512479,7,1982,26,5.88,2.51,11.4,18.8,27.4,24.7,14.9,12.3,9.9,7.2,2.5,0,0,0,0,0,0,0,0,0,0,0,8.25
804,74,31,4.5,7.694836503,6.85,1982,26,7.41,4.32,11.7,21.8,29.8,26.3,18.3,16.4,14.3,11.7,8.4,4,0.6,0,0,0,0,0,0,0,0,0,12.85
805,75,100,4.83,8.464710618,7.6,1982,26,8.75,4.48,18.2,26.4,35.8,28.2,25.7,24,21,18.4,15,9.6,6,0.9,0,0,0,0,0,0,0,0,24.5
806,76,100,5.83,8.912640667,7.9,1982,26,10.5,5.1,22.4,31.1,46,34.4,30.6,28.2,26.4,25,21.8,19.1,14.4,10.5,5.4,0.9,0,0,0,0,0,0,42.39
807,77,100,6.83,9.089034643,7.9,1982,26,8.89,4.3,14.8,20.8,34.2,22.4,20.5,18,16.9,14.8,11.8,9.7,6,2.2,0,0,0,0,0,0,0,0,16.1
808,78,100,7.5,9.030640295,7.8,1982,26,9,5.57,12.7,22,39.1,25.2,21.3,19.1,17.4,15.3,13.2,10.4,7.7,2.8,0,0,0,0,0,0,0,0,18.66
809,79,100,9.83,9.889752643,8.15,1982,26,10.01,5.15,17.2,24.5,37,27.8,25.3,22.7,21.1,19.2,17,14.2,11.2,6.7,2.5,0,0,0,0,0,0,0,26.6
810,80,100,12.17,9.422258486,7.25,1982,26,10.86,5.06,21.6,30,45,35.9,29.7,28,25.8,23.4,20.3,17.7,14.6,10.8,6.7,1.6,0,0,0,0,0,0,40.76
811,81,28,11.83,8.389706211,6.4,1982,26,6.34,3.25,12,17.9,25.4,18.5,16.9,14.5,11.5,7.2,3.8,0.3,0,0,0,0,0,0,0,0,0,0,8.07
812,82,100,10.83,8.740411672,6.9,1982,26,11.55,5.68,25.9,33.9,45.3,37.2,34,33.3,31.6,29.3,26.9,23.3,20.2,15.8,10.5,5.3,0.9,0,0,0,0,0,58.83
813,83,100,9.83,8.564017696,7,1982,26,10.59,4.67,25.1,34.7,48,39,34.1,31.3,28.9,26.2,22.8,19,14.9,10,6.6,0.9,0,0,0,0,0,0,49.7
814,84,100,7.83,8.20324339,7.1,1982,26,10.36,4.53,24.4,32.1,40.3,34,31.7,29.5,27.7,24.9,22.5,19,15.5,10.3,5.2,0.6,0,0,0,0,0,0,43.75
815,85,37,6.5,8.055610809,7.1,1982,26,7.52,4.72,11.9,18.6,26.4,20,17.8,16.5,14.9,12.8,8.9,4.4,0.9,0,0,0,0,0,0,0,0,0,11.45
816,86,100,6.5,7.520525018,6.66,1982,26,10.2,5.87,16.1,24.5,37.5,25.9,24,23,21,19.1,17.4,15,12.6,7.8,3,0,0,0,0,0,0,0,26.36
817,87,100,5.83,6.780283855,5.85,1982,26,10.09,6.19,14.8,23.7,31.4,24.4,23.5,22.7,21.6,19.4,17,14.2,11.1,7.2,2.5,0,0,0,0,0,0,0,24.79
818,88,100,4.83,6.867439598,6.15,1982,26,10.41,4.53,27.3,34.2,57.5,37.4,33.5,32.2,30.3,27.5,24.2,21.1,17.6,12.9,6.6,0.6,0,0,0,0,0,0,54.03
819,89,100,0.17,5.412764621,7,1982,26,8.01,3.14,25.2,30.5,43.8,35.6,30.4,27.3,24.4,20.8,15.6,9.8,3.9,0,0,0,0,0,0,0,0,0,33.1
820,90,100,0.5,4.313831642,6,1982,26,8.83,2.31,30.8,33.9,41.2,35.5,33,30.8,28.9,24.8,20.8,13.7,7.7,1.9,0,0,0,0,0,0,0,0,41.73
821,91,40,1.5,5.025311409,6.2,1982,26,7.02,3.22,12.7,18.5,33,21.2,17.3,15.7,12.2,10,6.5,2.5,0,0,0,0,0,0,0,0,0,0,10.32
822,92,100,1.83,3.934364786,5.2,1982,26,8.7,3.05,26.7,32.1,54.5,34.9,31.3,29.1,25.9,21.5,17.2,11.8,5.9,1.3,0,0,0,0,0,0,0,0,37.14
823,93,39,2.83,4.909394272,5.2,1982,26,5.87,2.14,13.8,18.7,26.1,21.6,16.4,13,10,7.3,3,0,0,0,0,0,0,0,0,0,0,0,7.98
824,94,100,4.83,5.00661886,4.4,1982,26,9.91,4.56,24,32.7,41.2,34.8,31.6,29.3,27.3,24.5,21.7,17.9,14,8.1,1.3,0,0,0,0,0,0,0,42.16
825,95,100,5.83,5.446562553,4.75,1982,26,9.56,5.84,14.6,22.2,30.7,23.8,21.5,20.9,19,17.4,15.6,13.2,10.5,5.7,0.3,0,0,0,0,0,0,0,20.95
826,96,100,6.5,6.458339789,5.6,1982,26,9.26,5.6,15,24.8,34.1,26.5,24.7,23,21.4,18.9,16,12.8,8.6,4,0,0,0,0,0,0,0,0,24.61
827,97,34,7.5,6.634733765,5.75,1982,26,7.79,4.53,12.1,20.7,27.8,21.3,18.8,16.8,14.9,12.5,10.2,6.2,1.9,0,0,0,0,0,0,0,0,0,12.49
828,98,34,7.83,7.40460788,6.4,1982,26,6.06,4.15,19.1,27.1,35.5,29.2,25.7,23.8,21.3,18.6,14.5,0,0,0,0,0,0,0,0,0,0,0,23.3
829,99,29,8.83,6.782366345,5.7,1982,26,6.9,4.5,9.3,16.6,23.8,18,16,14.2,12.4,9.8,6.8,0.7,0,0,0,0,0,0,0,0,0,0,8.35
830,100,30,9.83,7.493846113,6.1,1982,26,6.5,4.25,8.7,18.2,27.2,20,16.8,14.3,12,8.3,4.8,0.6,0,0,0,0,0,0,0,0,0,0,8.7
831,101,100,11.5,6.821196586,5.25,1982,26,11.81,5.07,33.2,44,82.5,52.5,42,39.7,37.7,34.5,32,28.5,23.1,18.6,12.5,7.4,1.9,0,0,0,0,0,93.05
832,102,100,9.83,6.695210603,5.4,1982,26,8.18,5.2,13.7,23.9,40.7,27.1,23,21.3,18.8,15.9,13,9,4.2,0,0,0,0,0,0,0,0,0,20.52
833,103,100,10.83,3.41351282,2.8,1982,26,10.44,5.3,21.9,30.1,38,30.8,29.1,27.3,25.6,23.5,21.9,18.5,15.5,9.4,5.5,0.6,0,0,0,0,0,0,38.31
834,104,33,9.83,5.633025374,4.6,1982,26,8.33,5.76,13.3,26.7,37.5,33.4,25.1,23.8,20,17.7,13.7,10.6,5.5,0.3,0,0,0,0,0,0,0,0,25.27
835,105,28,8.5,5.748942512,4.8,1982,26,6.53,4.29,10,18.1,28.6,19.9,17.1,15.2,13.1,9.7,6,0.9,0,0,0,0,0,0,0,0,0,0,9.59
836,106,100,7.5,5.572548536,4.7,1982,26,10.65,5.6,19.4,27.3,37.8,30.5,27.3,26,24.1,21.9,19.9,17.5,13.9,9.7,5,0.9,0,0,0,0,0,0,34.34
837,107,100,6.5,4.861068769,4.25,1982,26,10.37,5.42,19.1,27,38.2,29.4,27,25.2,23.5,21.5,19.3,16.4,13,9.4,4.2,0.6,0,0,0,0,0,0,32.43
838,108,100,7.5,4.773913026,4.2,1982,26,11.04,6.9,18.3,29.9,39.5,31.5,29.4,28.5,26.6,25,22.8,19.8,16.5,12,7.7,2.5,0,0,0,0,0,0,42.02
839,109,100,9.17,5.155462373,4.33,1982,26,9.07,6.06,12.5,20.8,26.8,22.2,20.9,19.8,18.6,17,14.6,11.8,8.4,3.3,0,0,0,0,0,0,0,0,18.49
840,110,100,10.83,4.483684403,3.66,1982,26,10.87,6.78,18.7,30.4,49.7,32,31.3,28.6,27,24.8,23.3,20.3,16.1,11.3,6.3,1.9,0,0,0,0,0,0,44.26
841,111,33,11.83,3.861442869,3.1,1982,26,7.2,4.31,9.5,18.3,21.6,17.3,14.9,13.2,11.5,9.5,6,3.3,0,0,0,0,0,0,0,0,0,0,7.38
842,112,30,9.83,4.035754354,3.5,1982,26,8.45,5.08,13.3,22.4,39.8,28,21,19.8,18.3,15.2,11.7,8.7,5.1,0.6,0,0,0,0,0,0,0,0,18.98
843,113,100,8.83,3.859360378,3.4,1982,26,11.15,4.56,27,33.5,54.9,38.1,32.6,31.4,30.2,28,25,21.9,18.2,14.7,9,3.7,0,0,0,0,0,0,54.78
844,114,100,7.5,3.975277516,3.6,1982,26,9.69,4.67,23.1,31.7,48.7,34.5,31.1,29,26.6,23.9,20.4,15.5,10.1,6.8,0.9,0,0,0,0,0,0,0,39.96
845,115,100,6.5,3.790897186,3.4,1982,26,10.7,4.72,19.2,25.4,41.2,30.1,25.2,24.4,21.5,19.9,17.7,15.4,12.5,9,5,0.9,0,0,0,0,0,0,29.8
846,116,100,5.5,4.149589002,3.6,1982,26,9.2,4.28,21.4,26.8,43.6,30.6,26.4,25.4,23.4,21.7,18.8,15.4,10.9,4.3,0,0,0,0,0,0,0,0,31.66
847,117,100,4.5,3.701658953,3.3,1982,26,10.24,4.4,24.6,31.8,51.5,41.2,31.2,28.4,26.5,24.8,21.7,18.3,13.9,9.1,3.8,0,0,0,0,0,0,0,45.3
848,118,100,3.17,3.817576091,4,1982,26,7.83,3.65,17.8,30,43.7,34.1,26.9,22,19.2,14.7,9.7,5.4,1.6,0,0,0,0,0,0,0,0,0,23.55
849,119,33,2.5,3.077334928,3.9,1982,26,5.77,2.71,15.9,21.3,33.5,23,20.2,17,11.4,7,1.9,0,0,0,0,0,0,0,0,0,0,0,11.07
850,120,36,1.17,2.658166274,4.33,1982,26,5.18,2.4,9,13.2,21.5,17.3,11.5,9,6.7,4,0,0,0,0,0,0,0,0,0,0,0,0,4.26
851,121,40,0.5,2.988096695,4.9,1982,26,5.82,3.22,13.2,19.7,28.2,20.7,17.6,15.3,12.6,8.4,2.4,0,0,0,0,0,0,0,0,0,0,0,9.35
852,122,100,0.83,1.36206428,3.4,1982,26,8.58,3.07,30.5,40.5,51.8,46.5,37.8,34.2,27.7,22.9,18,12,6.2,0.9,0,0,0,0,0,0,0,0,49.38
853,123,100,2.5,1.743613627,2.67,1982,26,7.36,2.58,23,27.3,49.3,30.4,25.9,23.5,19.7,16,10.5,5,0.6,0,0,0,0,0,0,0,0,0,23.62
854,124,36,4.17,1.86959961,1.8,1982,26,6.99,3.14,16.5,25.6,35.9,29.1,22.3,19.4,16,11.9,7.8,2.8,0,0,0,0,0,0,0,0,0,0,16.56
855,125,100,5.17,2.844629095,2.5,1982,26,8.86,4.23,18.6,25.7,44.4,29.1,25.1,23.1,21,18.5,16,11,7.2,1.9,0,0,0,0,0,0,0,0,25.66
856,126,100,5.5,1.753682472,1.75,1982,26,10.8,4.24,31.1,35.2,62.2,38.5,34.9,34.5,32.5,30.9,27.3,24,19.3,15,7.3,1.6,0,0,0,0,0,0,63.16
857,127,28,6.5,2.992261676,2.75,1982,26,6.19,3.58,9.8,17.2,23.1,18.8,15.1,13.3,10.4,7.6,2.8,0,0,0,0,0,0,0,0,0,0,0,7.06
858,128,100,6.5,2.193626166,2.2,1982,26,10.28,5.58,18.7,28.3,37.7,30.8,27.9,26.2,24.2,21.7,19,16.2,12.3,8.1,3.2,0,0,0,0,0,0,0,33.42
859,129,24,8.83,3.060724868,2.8,1982,26,5.36,0,0,17.7,23.3,19,16.5,13.9,10.8,3.7,0.6,0,0,0,0,0,0,0,0,0,0,0,NA
860,130,100,7.83,1.550609591,1.7,1982,26,10.87,4.95,31.6,40.6,63.3,46.3,39.7,37.7,35.5,33,30.6,25.8,22.1,15.2,7.9,1.9,0,0,0,0,0,0,77.41
861,131,36,9.83,3.237118844,2.8,1982,26,8.63,4.63,16.6,27.5,42.6,31.7,26.5,23.9,20.5,18,14.2,12.3,7,0.6,0,0,0,0,0,0,0,0,26.62
862,132,100,11.5,3.091568754,2.6,1982,26,10.15,5.52,19.8,29.7,54.6,32.5,28.5,27,25.5,22.4,20.3,17.7,15.9,10.5,4.2,0,0,0,0,0,0,0,39.23
863,133,100,11.5,2.029383525,1.95,1982,26,10.17,5.14,21.4,29,64.8,35.5,29,27.4,25.2,23.7,21.2,17.1,11.8,8.8,3,0,0,0,0,0,0,0,41.41
864,134,25,10.5,1.581453476,1.55,1982,26,5.85,0,0,17,23.3,18.1,14.8,12.8,10.7,6.5,2.1,0,0,0,0,0,0,0,0,0,0,0,NA
865,135,100,9.17,0.363649312,0.75,1982,26,10.71,6.82,16.9,27.1,40.3,29.5,27.6,25.5,24.2,22.3,20.4,17.9,14.2,10.8,6.1,0.9,0,0,0,0,0,0,34.99
866,136,100,10.17,0.548029643,0.75,1982,26,9.63,5.09,20,28.9,38.3,31.1,27.9,26.3,24.4,21.7,18.7,15.7,11.9,5.9,0.9,0,0,0,0,0,0,0,33.09
867,137,25,11.5,0.695662223,0.8,1982,26,6.43,0,0,16,25.5,17.9,14.7,12.7,10,6.7,2.8,0.6,0,0,0,0,0,0,0,0,0,0,NA
868,138,35,11.17,-0.074211891,0.2,1982,26,8.53,5.47,12.5,21.4,27.7,22.4,20.7,19.3,17.5,15.4,12.6,9.9,5.3,0.6,0,0,0,0,0,0,0,0,16.48
869,139,21,9.17,1.162284822,1.25,1982,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
870,140,36,7.83,0.751974081,1.1,1982,26,9.22,5.96,13.6,21.9,33,24.2,21.1,20.1,19,17.4,15,12.5,9,3.1,0,0,0,0,0,0,0,0,20.11
871,141,28,6.83,0.839129824,1.1,1982,26,6.82,4.17,10.3,20.8,28.4,22.3,18.4,16.2,13.7,8.5,6.1,1.3,0,0,0,0,0,0,0,0,0,0,10.69
872,142,26,7.17,0.010861361,0.5,1982,26,7.01,0,0,18.4,24.7,21.3,16.9,14.1,11.3,8.8,5.5,2.2,0,0,0,0,0,0,0,0,0,0,NA
873,143,100,5.83,0.654749493,0.85,1982,26,7.87,4.61,12.8,19.4,28.5,20,18,16.2,14.9,12.5,10.3,7.4,1.9,0,0,0,0,0,0,0,0,0,12.02
874,144,36,4.5,0.770666631,0.85,1982,26,8.55,2.96,27,33.8,60.8,39.1,31.1,28.4,24.7,21.2,15.7,11.1,5.5,0.6,0,0,0,0,0,0,0,0,38.05
875,145,100,3.17,0.359484332,1.15,1982,26,8.01,3.69,20.2,28.7,53,33.4,26.6,24.4,21.3,17.8,13.4,7.2,1.9,0,0,0,0,0,0,0,0,0,27.49
876,146,38,1.5,0.505034423,2.3,1982,26,6.17,2.16,17.3,21.2,36.8,24.3,19.4,16.3,13.5,9.3,3.4,0,0,0,0,0,0,0,0,0,0,0,11.99
877,1,100,2.83,15.82674169,14.5,1983,27,7.96,3.8,22.9,29.2,52.4,32.9,28.7,26.7,23.7,20.9,17.5,11.2,3.6,0,0,0,0,0,0,0,0,0,32.56
878,2,100,1.5,15.40757304,14.33,1983,27,9.22,3.78,32.9,39,68.9,42.6,38.3,36.7,33.5,30.2,24.8,19.4,13.7,6.6,0,0,0,0,0,0,0,0,63.3
879,3,100,0.5,14.16899384,13.4,1983,27,9.85,4.77,22.9,30.9,47.9,33.2,30,28,26.1,23.7,21.6,18.8,13.4,7.6,1.9,0,0,0,0,0,0,0,40.17
880,4,32,1.5,14.34538781,13.45,1983,27,6.7,4.22,11.9,22,30.2,23.3,20.2,17,15,11.5,8.7,3.6,0,0,0,0,0,0,0,0,0,0,12.95
881,5,32,2.5,15.05686758,14,1983,27,4.6,2.18,9.1,14.5,20.7,16.1,11.4,8.7,4.7,0.9,0,0,0,0,0,0,0,0,0,0,0,0,3.67
882,6,100,3.83,15.73958595,14.3,1983,27,8.44,3.53,24.7,30.7,67.6,35.3,30.2,27.7,25,21.6,17.8,12.5,5.7,0.6,0,0,0,0,0,0,0,0,37.98
883,7,100,4.5,15.14610581,13.7,1983,27,7.62,4.22,19.3,28.1,47.9,30.4,26.1,24.4,22,18.7,14.9,9.9,2.2,0,0,0,0,0,0,0,0,0,26.88
884,8,100,5.83,15.56527447,13.85,1983,27,8.36,4.9,17.9,28.5,47.5,32.2,27.3,25.9,23.1,19.7,16.6,12.5,8.4,0.6,0,0,0,0,0,0,0,0,30.66
885,9,100,7.83,15.39096298,13.6,1983,27,10.64,5.1,26.9,36.2,55.7,39.6,36,34.8,31.7,28.8,25.7,21.4,16.4,11.3,6.5,1.9,0,0,0,0,0,0,58.77
886,10,40,9.17,15.537724,13.3,1983,27,6.67,4.05,10.9,19.7,27.3,20,18.2,16,13.2,9.8,5.1,1.6,0,0,0,0,0,0,0,0,0,0,10
887,11,100,10.83,15.12949575,12.25,1983,27,8.45,3.78,19.3,27,43.6,29.3,25.3,22.3,20.7,17.8,15,11.6,6.2,0.6,0,0,0,0,0,0,0,0,24.86
888,12,32,11.5,15.0711014,12.1,1983,27,8.47,4.83,13.1,20.3,27.4,21.7,19.6,18.5,16,14.3,11.4,8.2,5.5,0.6,0,0,0,0,0,0,0,0,14.59
889,13,100,11.5,13.7373801,10.9,1983,27,10.92,5.38,21.8,30.4,46.7,33,30.2,27.8,26,24.5,21.3,18.5,16,12.8,8.5,1.9,0,0,0,0,0,0,42.07
890,14,28,10.5,13.82453585,11.3,1983,27,5.58,3.31,8.8,13.4,18.4,13.6,12.3,10.9,9.1,5.2,0.9,0,0,0,0,0,0,0,0,0,0,0,4.39
891,15,35,9.5,14.44677738,12.15,1983,27,6.82,4.77,10.7,20.7,25.3,20.9,20.8,18.1,15.9,12.6,8.8,2.9,0,0,0,0,0,0,0,0,0,0,13.01
892,16,26,9.17,14.47553877,12.25,1983,27,3.14,0,0,9.7,12.5,10.1,7.8,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
893,17,100,6.83,14.14439742,12.45,1983,27,9.07,5.08,19.3,28.4,41.7,30.1,27.7,25.7,23.9,20.9,17.6,15.4,10.5,3.9,0,0,0,0,0,0,0,0,31.47
894,18,100,4.5,14.3474703,13,1983,27,6.82,3.99,12.4,19.6,32.4,20.6,18.7,16.6,14.1,11.7,7.4,3.6,0,0,0,0,0,0,0,0,0,0,11.6
895,19,27,3.5,13.63599053,12.5,1983,27,5.54,0,0,14.5,20.9,15.3,12.8,10.8,8.2,4.6,1.3,0,0,0,0,0,0,0,0,0,0,0,NA
896,20,100,2.5,13.45959656,12.5,1983,27,8.48,4.66,20.4,29.6,39,30.9,28.8,27.6,24,21.4,17,12.4,6.7,1.3,0,0,0,0,0,0,0,0,31.53
897,21,100,1.5,13.5467523,12.7,1983,27,9.49,4.94,21.2,30.4,50.3,32.8,29.5,28,25,22.5,19.7,16,11.3,5.7,0.6,0,0,0,0,0,0,0,37.15
898,22,100,0.17,13.39911972,12.85,1983,27,10.32,5.08,24.9,34.8,55.4,39,34.3,31.7,29.8,26.7,23.1,20,15.9,10.6,4.8,0.6,0,0,0,0,0,0,52.15
899,23,34,0.17,12.32894814,12.05,1983,27,9.54,4.48,30,38.1,60.3,45,37.3,34.8,32.6,29.9,26.8,22,16.4,10.4,0.9,0,0,0,0,0,0,0,63.67
900,24,100,1.5,12.213031,11.6,1983,27,9.44,5.18,20.5,29.9,50.8,32.8,29,27.4,25.4,22.9,20.4,16.5,11.7,6.5,0.6,0,0,0,0,0,0,0,37.52
901,25,100,2.5,12.66096105,11.7,1983,27,9.2,4.83,21.3,31.1,42.2,33.7,30.2,27.9,25.4,22.2,19.3,16.2,10.5,5.5,0,0,0,0,0,0,0,0,36.63
902,26,38,3.83,12.80859363,11.66,1983,27,8.27,5.82,11.6,22,31.2,22.8,21.2,19.4,17.2,15.2,12.8,9.8,5.5,0,0,0,0,0,0,0,0,0,16.88
903,27,100,4.5,12.48664956,11.25,1983,27,8.65,4.85,15,22.7,34.5,24.5,21.8,19.8,18,15.8,13.2,10.7,6.5,1.3,0,0,0,0,0,0,0,0,18.63
904,28,100,4.83,13.5200734,12.15,1983,27,9.11,5.11,17.3,25.3,38,27.4,24.2,23,20.5,19.3,16.4,13,8.5,4.1,0,0,0,0,0,0,0,0,24.95
905,29,21,NA,NA,NA,1983,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
906,30,100,7.17,13.58766503,11.85,1983,27,10,4.75,24,30.7,45.6,32.5,30.5,28.8,27.1,24.5,21.8,18.1,13.5,7.5,2.8,0,0,0,0,0,0,0,40.9
907,31,100,9.17,13.41335355,11.25,1983,27,10.44,5.13,24.4,32.8,45.9,35.7,32.3,30.8,29,26.6,23.9,20.2,16.2,10.9,4.8,0.9,0,0,0,0,0,0,48.29
908,32,100,11.5,13.21028067,10.5,1983,27,10.05,5.24,20.6,28.3,38.1,29.3,28.5,27.2,24.8,22.1,19.4,17.1,12.3,9.8,3.8,0,0,0,0,0,0,0,34.68
909,33,100,9.5,12.84950636,10.7,1983,27,11.4,5.4,25.7,33.3,50.7,37.6,33.5,31.5,29.9,27.2,25.2,21.8,19.8,15.1,9.7,7.4,0.6,0,0,0,0,0,55.17
910,34,21,NA,NA,NA,1983,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
911,35,36,7.83,12.19642094,10.5,1983,27,8.16,5.1,13.4,22.1,30.4,23.5,22.1,19.9,17.7,15.4,12.2,8.5,3.9,0,0,0,0,0,0,0,0,0,17.23
912,36,100,5.83,12.90581822,11.5,1983,27,9.46,5.58,19.3,28.9,40.8,30.9,28,27.4,25,23.2,20,16.3,11.8,5.7,0.6,0,0,0,0,0,0,0,35.06
913,37,100,5.83,11.83564663,10.5,1983,27,8.77,4.5,15.2,25.5,30.4,24.8,21.7,20.1,17.9,15.5,12.4,9.6,6.9,1.6,0,0,0,0,0,0,0,0,18.06
914,38,100,6.5,11.77725229,10.3,1983,27,10.45,4.83,25.2,32.6,46.6,37.2,32.7,31.4,30,26.7,23.6,20.1,15,10.2,5,0.6,0,0,0,0,0,0,49.41
915,39,100,5.17,11.62961971,10.3,1983,27,9.17,5.48,16.3,26.4,33.9,28.2,25.9,24.2,21.8,19.1,16.2,13.7,9,3.4,0,0,0,0,0,0,0,0,26.47
916,40,100,4.17,11.98032517,10.8,1983,27,9.55,5.99,14.6,24.5,32,25.9,24,22.2,20.4,18,16.2,13.5,10.1,6.2,0.6,0,0,0,0,0,0,0,23.75
917,41,100,3.83,11.7464084,10.66,1983,27,9.52,5.29,21.6,30,45.5,33.9,29.3,28.3,25.9,23.6,21.2,19,13.7,7,0.9,0,0,0,0,0,0,0,39.73
918,42,100,2.83,11.29847835,10.33,1983,27,9.04,4.33,22.6,27.6,41,30.6,27,26.2,24.5,23.1,19.7,16,10.6,4.1,0,0,0,0,0,0,0,0,33.26
919,43,100,2.17,11.62753722,10.8,1983,27,8.65,4.9,18.2,26.9,39.4,29.1,25.8,24.3,21.8,19.4,16.9,12.5,7.3,1.3,0,0,0,0,0,0,0,0,26.95
920,44,100,1.83,11.12208438,10.45,1983,27,7.96,3.85,16.5,23.1,32.7,24.3,22,20,16.7,15,11.5,5,1.9,0,0,0,0,0,0,0,0,0,16.65
921,45,32,0.5,11.23800151,11.2,1983,27,7.02,3.59,13.9,20.7,28.7,23,19.2,17,14.2,11.4,7.1,2.5,0,0,0,0,0,0,0,0,0,0,12.03
922,46,100,1.17,9.845885865,9.8,1983,27,7.48,2.73,18.2,22.1,31.5,24,21.5,18.9,16.6,13.7,9.8,5.6,0.6,0,0,0,0,0,0,0,0,0,15.39
923,47,100,0.5,9.105644702,9.6,1983,27,8.29,3.99,16.1,22.7,33.8,25.2,21.9,20.3,17.7,14.7,11.5,8.5,3.9,0,0,0,0,0,0,0,0,0,17.68
924,48,100,2.5,9.729968727,9.1,1983,27,9.5,4.56,21.7,29.3,39.5,32.3,27.8,26.2,25,21.9,19.6,16,11.6,6.5,0.6,0,0,0,0,0,0,0,34.16
925,49,100,2.83,9.174107895,8.55,1983,27,8.73,4.25,26.2,33.7,50.1,37,32.3,30.7,28.4,25.4,19.9,11.7,6.7,1.6,0,0,0,0,0,0,0,0,42.04
926,50,33,3.5,10.44144849,9.5,1983,27,7.49,3.87,15.4,21.1,30.4,23.9,20.4,18,15.8,12.5,9.1,5.1,1.3,0,0,0,0,0,0,0,0,0,14.05
927,51,100,4.17,11.18168966,10.1,1983,27,9.12,5.06,21,29.8,39.5,32.3,29,27.6,25.7,23.2,19.9,13.1,8.4,3.2,0,0,0,0,0,0,0,0,34.69
928,52,100,4.5,10.09074303,9.1,1983,27,8.68,4.54,16.6,24.4,38.5,26.2,23.2,21.2,19.3,16.8,14.1,11.4,5.3,1.3,0,0,0,0,0,0,0,0,21.24
929,53,36,4.83,10.86061715,9.75,1983,27,8.1,4.73,12.8,21.2,25.9,22.6,20.7,18.7,16.2,13.7,10.4,7.8,3.4,0,0,0,0,0,0,0,0,0,14.63
930,54,100,6.17,10.74382845,9.45,1983,27,9.19,5.2,16.8,24.9,39.5,26.6,24,23.5,20.7,18.6,16.2,12.5,8.3,3.8,0,0,0,0,0,0,0,0,24.64
931,55,27,7.83,10.86269964,9.3,1983,27,6.25,0,0,16.5,24.4,17.1,13.8,11.7,9.8,6.9,3.8,0,0,0,0,0,0,0,0,0,0,0,NA
932,56,33,8.83,11.84571548,10.05,1983,27,7.97,3.81,17.8,24.8,36,26.9,24.1,21.8,19.3,15.5,11.4,7.5,3.5,0,0,0,0,0,0,0,0,0,20.12
933,57,100,10.83,12.73358922,10.25,1983,27,10.5,5.35,22.5,32.7,45.8,38.1,32.3,30.5,27.8,26,22.5,18.4,14.5,10.3,5.7,1.3,0,0,0,0,0,0,46.75
934,58,29,11.83,11.58424825,9.25,1983,27,7.42,4.49,9.9,16.4,24.3,17.6,15.8,14.3,12.5,10.3,7.5,5.3,0.3,0,0,0,0,0,0,0,0,0,8.68
935,59,100,11.17,10.57159946,8.33,1983,27,10.06,4.14,23.5,28.2,40,30.9,28.2,27.6,24.9,22.5,20,18,14.5,10.7,3.1,0,0,0,0,0,0,0,36.6
936,60,21,9.83,10.95992423,9.1,1983,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
937,61,100,8.83,11.04707997,9.3,1983,27,10.26,6.43,19.5,30.2,48.5,31.5,28.8,28,26.5,24.5,22.1,19.1,14.2,8.9,3.8,0,0,0,0,0,0,0,40.26
938,62,100,8.83,9.976908385,8.45,1983,27,10.36,4.92,22.4,28.8,51,33.8,27.9,27.5,25.6,23.2,20.9,18,14.8,9.5,4.5,0.3,0,0,0,0,0,0,39.4
939,63,27,7.83,10.3356002,8.85,1983,27,6.74,0,0,15,20.8,15.8,13.4,11.9,9.8,7.8,4.2,1.3,0,0,0,0,0,0,0,0,0,0,NA
940,64,100,6.5,9.916431548,8.7,1983,27,9.78,5.65,19.7,28.9,41.5,31,28.6,27.1,25.2,23.3,20.7,17.7,14,10.4,4.1,0,0,0,0,0,0,0,37.17
941,65,27,5.83,9.439740104,8.4,1983,27,6.61,0,0,17.4,23.9,18.1,16.2,14.8,12.8,10.4,5.9,1.3,0,0,0,0,0,0,0,0,0,0,NA
942,66,100,4.83,9.263346128,8.33,1983,27,8.97,5.36,14.6,22.5,32.5,24.2,21.6,20.7,18.3,17,14.6,11.5,6.8,2.1,0,0,0,0,0,0,0,0,19.52
943,67,31,4.17,8.522233408,7.75,1983,27,7.78,4.85,8.3,17,24.9,18.8,16.3,13.4,11.8,9.4,7.5,4.9,1.6,0,0,0,0,0,0,0,0,0,8.57
944,68,36,3.83,8.016780569,7.25,1983,27,8.32,5.44,12.4,22.3,31.1,23.8,21.7,19.5,17.5,15,13.3,10.1,6,0.3,0,0,0,0,0,0,0,0,17.59
945,69,100,2.83,7.576836875,7.2,1983,27,9.31,3.95,24,29.3,53.6,34.1,28.2,26.7,24.3,22.4,18.4,14.7,10.1,4,0.3,0,0,0,0,0,0,0,35.49
